Timestamp,Total Occupancy,Unique Chokepoint Footfall,Total People Identified
2026-06-30 16:15:18,12,0,28
2026-06-30 16:15:23,9,0,28
2026-06-30 16:15:28,29,0,82
2026-06-30 16:15:33,27,0,103
2026-06-30 16:15:38,21,0,117
2026-06-30 16:15:43,22,0,132
2026-06-30 16:15:48,22,0,152
2026-06-30 16:15:53,22,0,176
2026-06-30 16:15:58,33,0,199
2026-06-30 16:16:03,35,0,214
2026-06-30 16:16:08,31,0,236
2026-06-30 16:16:13,21,0,250
2026-06-30 16:16:18,22,0,269
2026-06-30 16:16:23,23,0,276
2026-06-30 16:16:28,24,0,296
2026-06-30 16:16:33,22,0,313
2026-06-30 16:16:38,27,0,334
2026-06-30 16:16:43,24,0,350
2026-06-30 16:16:48,22,0,366
2026-06-30 16:16:53,22,0,393
2026-06-30 16:16:58,28,0,415
2026-06-30 16:17:03,26,0,432
2026-06-30 16:17:08,12,0,435
2026-06-30 16:17:14,22,0,460
2026-06-30 16:17:19,22,0,474
2026-06-30 16:17:24,23,0,482
2026-06-30 16:17:29,22,0,498
2026-06-30 16:17:34,23,0,518
2026-06-30 16:17:39,19,0,534
2026-06-30 16:17:44,19,0,546
2026-06-30 16:17:49,19,0,557
2026-06-30 16:17:54,22,0,569
2026-06-30 16:17:59,22,0,586
2026-06-30 16:18:04,25,0,605
